symptom,adj,map,grp
Exceptional Error?,Exceptional Error?,Incorrect Exceptions,Incorrect Exceptions
Error message,Error message,Incorrect Messaging,Incorrect Messaging
CI,CI,Errors in CI,Errors in CI
Behavior,Behavior,Incorrect Behavior,Incorrect Behavior
Error msg,Error msg,Incorrect Messaging,Incorrect Messaging
Refactor/API Change,Refactor/API Change,API Change,External API Change
API Change,API Change,API Change,External API Change
Crash/Interrupt,Crash/Interrupt,Aplication Crashing,Aplication Crashing
Message,Message,Incorrect Messaging,Incorrect Messaging
Exceptional Error (TypeError),Exceptional Error (TypeError),Incorrect Exceptions,Incorrect Exceptions
CI (rules),CI (rules),Errors in CI,Errors in CI
Perfomance,Perfomance,Performance,Performance
Poor Debugging,Poor Debugging,Poor Debugging,Poor Debugging
Crash,Crash,Aplication Crashing,Aplication Crashing
Error Message,Error Message,Incorrect Messaging,Incorrect Messaging
Crash or Blocking (Blocking Plugin),Crash or Blocking (Blocking Plugin),Aplication Crashing,Aplication Crashing
Ci,Ci,Errors in CI,Errors in CI
Unproper Message Error,Unproper Message Error,Incorrect Messaging,Incorrect Messaging
Behavior (No error),Behavior (No error),Incorrect Behavior,Incorrect Behavior
Initialization,Initialization,Modules/App Init,Modules Error
Modules not Loaded (Initialization?),Modules not Loaded (Initialization?),Modules/App Init,Modules Error
